sample_name,label
Hive3_28_07_2017_QueenBee____23_50_00,active
Hive1 12_06_2018_QueenBee____00_00_00,active
Hive1 12_06_2018_QueenBee____00_10_00,active
Hive1 12_06_2018_QueenBee____00_20_00,active
Hive1 12_06_2018_QueenBee____00_30_00,active
Hive1 12_06_2018_QueenBee____00_40_00,active
Hive1 12_06_2018_QueenBee____00_50_00,active
Hive1 12_06_2018_QueenBee____01_00_00,active
Hive1 12_06_2018_QueenBee____01_10_00,active
Hive1 12_06_2018_QueenBee____01_20_00,active
Hive1 12_06_2018_QueenBee____01_30_00,active
Hive1 12_06_2018_QueenBee____01_40_00,active
Hive1 12_06_2018_QueenBee____01_50_00,active
Hive1 12_06_2018_QueenBee____02_00_00,active
Hive1 12_06_2018_QueenBee____02_10_00,active
Hive1 12_06_2018_QueenBee____02_20_00,active
Hive1 12_06_2018_QueenBee____02_30_00,active
Hive1 12_06_2018_QueenBee____02_40_00,active
Hive1 12_06_2018_QueenBee____02_50_00,active
Hive1 12_06_2018_QueenBee____03_00_00,active
Hive1 12_06_2018_QueenBee____03_10_00,active
Hive1 12_06_2018_QueenBee____03_20_00,active
Hive1 12_06_2018_QueenBee____03_30_00,active
Hive1 12_06_2018_QueenBee____03_40_00,active
Hive1 12_06_2018_QueenBee____03_50_00,active
Hive1 12_06_2018_QueenBee____04_00_00,active
Hive1 12_06_2018_QueenBee____04_10_00,active
Hive1 12_06_2018_QueenBee____04_20_00,active
Hive1 12_06_2018_QueenBee____04_30_00,active
Hive1 12_06_2018_QueenBee____04_40_00,active
Hive1 12_06_2018_QueenBee____04_50_00,active
Hive1 12_06_2018_QueenBee____05_00_00,active
Hive1 12_06_2018_QueenBee____05_10_00,active
Hive1 12_06_2018_QueenBee____05_20_00,active
Hive1 12_06_2018_QueenBee____05_30_00,active
Hive1 12_06_2018_QueenBee____05_40_00,active
Hive1 12_06_2018_QueenBee____05_50_00,active
Hive1 12_06_2018_QueenBee____06_00_00,active
Hive1 12_06_2018_QueenBee____06_10_00,active
Hive1 12_06_2018_QueenBee____06_20_00,active
Hive1 12_06_2018_QueenBee____06_30_00,active
Hive1 12_06_2018_QueenBee____06_40_00,active
Hive1 12_06_2018_QueenBee____06_50_00,active
Hive1 12_06_2018_QueenBee____07_00_00,active
Hive1 12_06_2018_QueenBee____07_10_00,active
Hive1 12_06_2018_QueenBee____07_20_00,active
Hive1 12_06_2018_QueenBee____07_30_00,active
Hive1 12_06_2018_QueenBee____07_40_00,active
Hive1 12_06_2018_QueenBee____07_50_00,active
Hive1 12_06_2018_QueenBee____08_00_00,active
Hive1 12_06_2018_QueenBee____08_10_00,active
Hive1 12_06_2018_QueenBee____08_20_00,active
Hive1 12_06_2018_QueenBee____08_30_00,active
Hive1 12_06_2018_QueenBee____08_40_00,active
Hive1 12_06_2018_QueenBee____08_50_00,active
Hive1 12_06_2018_QueenBee____09_00_00,active
Hive1 12_06_2018_QueenBee____09_10_00,active
Hive1 12_06_2018_QueenBee____09_20_00,active
Hive1 12_06_2018_QueenBee____09_30_00,active
Hive1 12_06_2018_QueenBee____09_40_00,active
Hive1 12_06_2018_QueenBee____09_50_00,active
Hive1 12_06_2018_QueenBee____10_00_00,active
Hive1 12_06_2018_QueenBee____10_10_00,active
Hive1 12_06_2018_QueenBee____10_20_00,active
Hive1 12_06_2018_QueenBee____10_30_00,active
Hive1 12_06_2018_QueenBee____10_40_00,active
Hive1 12_06_2018_QueenBee____10_50_00,active
Hive1 12_06_2018_QueenBee____11_00_00,active
Hive1 12_06_2018_QueenBee____11_10_00,active
Hive1 12_06_2018_QueenBee____11_20_00,active
Hive1 12_06_2018_QueenBee____11_30_00,active
Hive1 12_06_2018_QueenBee____11_40_00,active
Hive1 12_06_2018_QueenBee____11_50_00,active
Hive1 12_06_2018_QueenBee____12_00_00,active
Hive1 12_06_2018_QueenBee____12_10_00,active
Hive1 12_06_2018_QueenBee____12_20_00,active
Hive1 12_06_2018_QueenBee____12_30_00,active
Hive1 12_06_2018_QueenBee____12_40_00,active
Hive1 12_06_2018_QueenBee____12_50_00,active
Hive1 12_06_2018_QueenBee____13_00_00,active
Hive1 12_06_2018_QueenBee____13_10_00,active
Hive1 12_06_2018_QueenBee____13_20_00,active
Hive1 12_06_2018_QueenBee____13_30_00,active
Hive1 12_06_2018_QueenBee____13_40_00,active
Hive1 12_06_2018_QueenBee____13_50_00,active
Hive1 12_06_2018_QueenBee____14_00_00,active
Hive1 12_06_2018_QueenBee____14_10_00,active
Hive1 12_06_2018_QueenBee____14_20_00,active
Hive1 12_06_2018_QueenBee____14_30_00,active
Hive1 12_06_2018_QueenBee____14_40_00,active
Hive1 12_06_2018_QueenBee____14_50_00,active
Hive1 12_06_2018_QueenBee____15_00_00,active
Hive1 12_06_2018_QueenBee____15_10_00,active
Hive1 12_06_2018_QueenBee____15_20_00,active
Hive1 12_06_2018_QueenBee____15_30_00,active
Hive1 12_06_2018_QueenBee____15_40_00,active
Hive1 12_06_2018_QueenBee____15_50_00,active
Hive1 12_06_2018_QueenBee____16_00_00,active
Hive1 12_06_2018_QueenBee____16_10_00,active
Hive1 12_06_2018_QueenBee____16_20_00,active
Hive1 12_06_2018_QueenBee____16_30_00,active
Hive1 12_06_2018_QueenBee____16_40_00,active
Hive1 12_06_2018_QueenBee____16_50_00,active
Hive1 12_06_2018_QueenBee____17_00_00,active
Hive1 12_06_2018_QueenBee____17_10_00,active
Hive1 12_06_2018_QueenBee____17_20_00,active
Hive1 12_06_2018_QueenBee____17_30_00,active
Hive1 12_06_2018_QueenBee____17_40_00,active
Hive1 12_06_2018_QueenBee____17_50_00,active
Hive1 12_06_2018_QueenBee____18_00_00,active
Hive1 12_06_2018_QueenBee____18_10_00,active
Hive1 12_06_2018_QueenBee____18_20_00,active
Hive1 12_06_2018_QueenBee____18_30_00,active
Hive1 12_06_2018_QueenBee____18_40_00,active
Hive1 12_06_2018_QueenBee____18_50_00,active
Hive1 12_06_2018_QueenBee____19_00_00,active
Hive1 12_06_2018_QueenBee____19_10_00,active
Hive1 12_06_2018_QueenBee____19_20_00,active
Hive1 12_06_2018_QueenBee____19_30_00,active
Hive1 12_06_2018_QueenBee____19_40_00,active
Hive1 12_06_2018_QueenBee____19_50_00,active
Hive1 12_06_2018_QueenBee____20_00_00,active
Hive1 12_06_2018_QueenBee____20_10_00,active
Hive1 12_06_2018_QueenBee____20_20_00,active
Hive1 12_06_2018_QueenBee____20_30_00,active
Hive1 12_06_2018_QueenBee____20_40_00,active
Hive1 12_06_2018_QueenBee____20_50_00,active
Hive1 12_06_2018_QueenBee____21_00_00,active
Hive1 12_06_2018_QueenBee____21_10_00,active
Hive1 12_06_2018_QueenBee____21_20_00,active
Hive1 12_06_2018_QueenBee____21_30_00,active
Hive1 12_06_2018_QueenBee____21_40_00,active
Hive1 12_06_2018_QueenBee____21_50_00,active
Hive1 12_06_2018_QueenBee____22_00_00,active
Hive1 12_06_2018_QueenBee____22_10_00,active
Hive1 12_06_2018_QueenBee____22_20_00,active
Hive1 12_06_2018_QueenBee____22_30_00,active
Hive1 12_06_2018_QueenBee____22_40_00,active
Hive1 12_06_2018_QueenBee____22_50_00,active
Hive1 12_06_2018_QueenBee____23_00_00,active
Hive1 12_06_2018_QueenBee____23_10_00,active
Hive1 12_06_2018_QueenBee____23_20_00,active
Hive1 12_06_2018_QueenBee____23_30_00,active
Hive1 12_06_2018_QueenBee____23_40_00,active
Hive1 12_06_2018_QueenBee____23_50_00,active
Hive1 31_05_2018_NO_QueenBee____00_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____00_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____00_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____00_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____00_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____00_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____01_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____01_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____01_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____01_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____01_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____02_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____02_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____02_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____02_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____02_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____02_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____03_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____03_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____03_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____03_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____03_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____03_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____04_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____04_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____04_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____04_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____04_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____04_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____05_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____05_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____05_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____05_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____05_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____05_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____06_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____06_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____06_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____06_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____06_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____06_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____07_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____07_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____07_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____07_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____07_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____07_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____08_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____08_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____08_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____08_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____08_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____09_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____09_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____09_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____09_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____09_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____09_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____10_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____10_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____10_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____10_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____10_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____10_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____11_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____11_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____11_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____11_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____11_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____11_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____12_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____12_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____12_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____12_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____12_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____12_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____13_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____13_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____13_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____13_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____13_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____13_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____14_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____14_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____14_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____14_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____14_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____14_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____15_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____15_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____15_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____15_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____15_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____15_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____16_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____16_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____16_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____16_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____16_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____16_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____17_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____17_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____17_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____17_30_00,missing queen
Hive1 31_05_2018_NO_QueenBee____17_40_00,missing queen
Hive1 31_05_2018_NO_QueenBee____17_50_00,missing queen
Hive1 31_05_2018_NO_QueenBee____18_00_00,missing queen
Hive1 31_05_2018_NO_QueenBee____18_10_00,missing queen
Hive1 31_05_2018_NO_QueenBee____18_20_00,missing queen
Hive1 31_05_2018_NO_QueenBee____18_30_00,missing queen
