Date,Tag number,Colony Size,Fob 1st,Fob 2nd,Fob 3rd,FoBrood,Queen status,Frames of Honey,Open,Close,Notes
6/22/2021,3629,1,6,,,,QR,,16:30:00,16:36:00,installed audio sensor prototype
6/22/2021,6,1,10,,,,QR,,16:50:00,16:55:00,needs 3rd box
6/22/2021,3631,2,10,10,,,QR,,16:56:00,17:00:00,bottom box wax is not fully drawn out
6/22/2021,3693,2,6,8,,,QR,,17:01:00,17:05:00,installed audio sensor prototype
6/22/2021,3690,2,10,10,,,QR,,17:05:00,17:14:00,swarm cell cups seen
6/22/2021,3691,2,7,10,,,QR,,17:16:00,17:24:00,
6/22/2021,3628,2,7,10,,,QR,,17:26:00,17:34:00,
6/22/2021,3627,1,8,,,,QR,,17:35:00,17:40:00,
6/22/2021,3692,1,8,,,,QR,,17:41:00,17:44:00,
6/29/2021,3692,2,8.5,,,,QR,,17:09:00,17:18:00,added second super June 27
6/29/2021,3627,2,10,,,7.5,QR,,17:19:00,17:28:00,
6/29/2021,3628,3,10,10,,,QR,,17:29:00,17:37:00,
6/29/2021,3691,3,10,10,,,QR,,17:35:00,17:47:00,added 3rd super
6/29/2021,3690,2,10,10,,,QR,,17:55:00,17:57:00,running out of space
6/29/2021,3693,2,10,10,,,QR,,17:57:00,18:00:00,
6/29/2021,3631,2,10,10,,,QR,,18:01:00,18:03:00,
6/29/2021,6,2,10,2,,,QR,,18:04:00,18:07:00,Didn’t open 1st box
6/29/2021,3640,2,10,3,,,QR,,18:04:00,18:14:00,
6/29/2021,3629,2,8.5,,,,QR,,18:19:00,18:27:00,Roof was blown off when we arrived
7/5/2021,3692,2,10,3,,6,QR,,18:45:00,18:52:00,
7/5/2021,3627,2,10,10,,9,QR,,18:34:00,18:42:00,aggressive
7/5/2021,3628,3,10,10,4,15,QR,,18:26:00,18:33:00,
7/5/2021,3691,3,10,10,10,17,QR,,18:21:00,18:25:00,3 box build comb already
7/5/2021,3690,2,10,10,,,QR,10,18:14:00,18:20:00,Running out of space
7/5/2021,3693,2,10,10,,,QR,10,18:14:00,18:20:00,running out of space
7/5/2021,3631,2,10,10,,,QR,,18:13:00,18:17:00,"Running out of space, added a 3rd box"
7/5/2021,6,2,10,10,,8,QR,11,18:02:00,18:09:00,2nd box drawn out comb. 80% filled with uncapped honey in second box
7/5/2021,3640,2,10,1,,8,QR,1,17:46:00,18:01:00,4 queen cells
7/5/2021,3629,2,7.5,2.5,,6,QR,,17:35:00,17:44:00,No comb on new frames
7/13/2021,3692,2,8,3,,,QR,,13:39:00,13:46:00,
7/13/2021,3627,2,10,5,,,QR,3,14:45:00,14:49:00,
7/13/2021,3628,3,10,5,5,,QR,7,14:39:00,14:44:00,not much comb has been built on 3 frames in middle box. Comb built on 3rd box
7/13/2021,3691,3,10,10,7,,QR,10,14:34:00,14:38:00,mosaic brood pattern in second box
7/13/2021,3690,3,10,10,6,,QR,10,14:19:00,14:32:00,switched 2nd and 3rd boxes
7/13/2021,3693,3,10,10,10,,QR,20,14:01:00,14:04:00,added audio sensor
7/13/2021,3631,3,10,10,6,,QR,15,14:10:00,14:17:00,bottom 2 boxes packed with capped honey. 3rd box comb is only 10% drawn out. Switched 2/3rd boxes
7/13/2021,6,2,10,10,,,QR,10,14:06:00,14:09:00,built comb in 2nd box quickly
7/13/2021,3640,2,8.5,4,,,QR,3,13:48:00,13:59:00,"supercedure cells, great brood pattern"
7/13/2021,3629,2,7,2,,,QR,,13:31:00,13:39:00,chalkbrood. Added mic
7/21/2021,3692,2,10,4,,,QR,3,17:35:00,17:37:00,
7/21/2021,3627,2,10,10,,,QR,3,17:31:00,17:34:00,queen seen
7/21/2021,3628,3,10,10,10,,QR,8,17:26:00,17:30:00,eggs in 3rd box
7/21/2021,3691,3,10,10,10,,QR,10,17:18:00,17:25:00,
7/21/2021,3690,3,10,10,10,,QNS,15,17:03:00,17:15:00,aggressive
7/21/2021,3693,3,10,10,10,,QR,10,16:57:00,17:03:00,
7/21/2021,3631,3,10,10,10,,QR,10,16:45:00,16:57:00,
7/21/2021,6,2,10,10,,,QR,10,16:42:00,16:44:00,
7/21/2021,3640,2,10,6,,,QR,6,16:24:00,16:41:00,nervous
