Date/Time (LST),Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h)
6/1/2021 0:00,14.6,56,0,5
6/1/2021 1:00,14.7,49,0,5
6/1/2021 2:00,14.1,53,0,6
6/1/2021 3:00,13.5,58,0,6
6/1/2021 4:00,13.5,59,0,7
6/1/2021 5:00,13.7,56,0,6
6/1/2021 6:00,14.4,60,0,5
6/1/2021 7:00,14.9,51,0,5
6/1/2021 8:00,15.2,51,0,7
6/1/2021 9:00,16.9,50,0,5
6/1/2021 10:00,17.9,46,0,6
6/1/2021 11:00,19.9,47,0,8
6/1/2021 12:00,22.6,38,0,9
6/1/2021 13:00,22.6,38,0,9
6/1/2021 14:00,23.2,35,0,8
6/1/2021 15:00,24,38,0,9
6/1/2021 16:00,24.1,34,0,11
6/1/2021 17:00,22.9,38,0,10
6/1/2021 18:00,21,42,0,5
6/1/2021 19:00,20.9,42,0,6
6/1/2021 20:00,20.5,44,0,3
6/1/2021 21:00,19.5,49,0,3
6/1/2021 22:00,17.5,60,0,9
6/1/2021 23:00,17.1,58,0,3
6/2/2021 0:00,17.8,50,0,4
6/2/2021 1:00,17.2,51,0,5
6/2/2021 2:00,16.5,57,0,5
6/2/2021 3:00,15.9,59,0,10
6/2/2021 4:00,15.5,62,0,12
6/2/2021 5:00,15.3,63,0,14
6/2/2021 6:00,16.1,60,0,14
6/2/2021 7:00,18.1,55,0,6
6/2/2021 8:00,20.8,48,0,4
6/2/2021 9:00,21.8,43,0,6
6/2/2021 10:00,23,38,0,6
6/2/2021 11:00,24.4,33,0,6
6/2/2021 12:00,25.4,26,0,7
6/2/2021 13:00,25.8,29,0,11
6/2/2021 14:00,26.5,28,0,10
6/2/2021 15:00,26.7,23,0,6
6/2/2021 16:00,27.2,28,0,6
6/2/2021 17:00,26.7,28,0,7
6/2/2021 18:00,25.7,32,0,7
6/2/2021 19:00,23.9,36,0,3
6/2/2021 20:00,23.1,40,0,5
6/2/2021 21:00,21.8,45,0,4
6/2/2021 22:00,21.4,48,0,7
6/2/2021 23:00,20.7,52,0,8
6/3/2021 0:00,19.2,56,0,5
6/3/2021 1:00,18.1,63,0,5
6/3/2021 2:00,17.2,73,0,5
6/3/2021 3:00,16.7,82,0,5
6/3/2021 4:00,16.4,86,0,6
6/3/2021 5:00,16.8,84,0,4
6/3/2021 6:00,16.5,89,0,4
6/3/2021 7:00,16.3,93,0.6,5
6/3/2021 8:00,16.8,93,0.8,6
6/3/2021 9:00,16.9,92,0.3,6
6/3/2021 10:00,17.2,89,0,8
6/3/2021 11:00,17.7,86,0,5
6/3/2021 12:00,17.3,93,1.5,2
6/3/2021 13:00,16.7,94,3,6
6/3/2021 14:00,17.2,91,0.2,4
6/3/2021 15:00,18.6,91,0,5
6/3/2021 16:00,19.4,83,0,3
6/3/2021 17:00,19.3,85,0,3
6/3/2021 18:00,19,87,0,6
6/3/2021 19:00,18.8,88,0,4
6/3/2021 20:00,18.2,90,0,2
6/3/2021 21:00,18,92,0,4
6/3/2021 22:00,18,93,0,5
6/3/2021 23:00,17.8,92,0,4
6/4/2021 0:00,17.6,91,0,5
6/4/2021 1:00,17.5,92,0,5
6/4/2021 2:00,17.4,92,0,4
6/4/2021 3:00,17.3,91,0,7
6/4/2021 4:00,16.9,92,0,4
6/4/2021 5:00,17.2,89,0,5
6/4/2021 6:00,17.3,89,0,5
6/4/2021 7:00,17.7,87,0,4
6/4/2021 8:00,19.5,80,0,6
6/4/2021 9:00,19,77,0,9
6/4/2021 10:00,22.2,68,0,8
6/4/2021 11:00,23.1,62,0,6
6/4/2021 12:00,24.6,55,0,13
6/4/2021 13:00,25.7,53,0,9
6/4/2021 14:00,25.7,49,0,10
6/4/2021 15:00,27.1,46,0,8
6/4/2021 16:00,26.7,44,0,8
6/4/2021 17:00,26.2,46,0,8
6/4/2021 18:00,25.2,50,0,5
6/4/2021 19:00,23.8,57,0,6
6/4/2021 20:00,23.1,62,0,4
6/4/2021 21:00,21.9,62,0,4
6/4/2021 22:00,21.2,65,0,6
6/4/2021 23:00,21,66,0,6
6/5/2021 0:00,20.5,67,0,6
6/5/2021 1:00,20.2,68,0,4
