,File_Path,Filename,Dataset,Class,Hive,Stratify_Key
0,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_00h30_HIVE-3631_Infested.wav,01-09-2022_00h30_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
1,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_02h00_HIVE-3631_Infested.wav,01-09-2022_02h00_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
2,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_02h45_HIVE-3631_Infested.wav,01-09-2022_02h45_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
3,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_06h30_HIVE-6_Infested.wav,01-09-2022_06h30_HIVE-6_Infested.wav,FRDR,Infested,HIVE-6,Infested_HIVE-6
4,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_07h15_HIVE-3631_Infested.wav,01-09-2022_07h15_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
5,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_07h30_HIVE-6_Infested.wav,01-09-2022_07h30_HIVE-6_Infested.wav,FRDR,Infested,HIVE-6,Infested_HIVE-6
6,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_07h45_HIVE-3631_Infested.wav,01-09-2022_07h45_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
7,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_12h30_HIVE-6_Infested.wav,01-09-2022_12h30_HIVE-6_Infested.wav,FRDR,Infested,HIVE-6,Infested_HIVE-6
8,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_13h00_HIVE-3693_Active.wav,01-09-2022_13h00_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
9,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_13h00_HIVE-6_Infested.wav,01-09-2022_13h00_HIVE-6_Infested.wav,FRDR,Infested,HIVE-6,Infested_HIVE-6
10,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_13h15_HIVE-3631_Infested.wav,01-09-2022_13h15_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
11,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_13h15_HIVE-3690_Active.wav,01-09-2022_13h15_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
12,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_14h30_HIVE-3693_Active.wav,01-09-2022_14h30_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
13,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_16h45_HIVE-3631_Infested.wav,01-09-2022_16h45_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
14,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_16h45_HIVE-3691_Active.wav,01-09-2022_16h45_HIVE-3691_Active.wav,FRDR,Active,HIVE-3691,Active
15,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_17h00_HIVE-6_Infested.wav,01-09-2022_17h00_HIVE-6_Infested.wav,FRDR,Infested,HIVE-6,Infested_HIVE-6
16,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_19h15_HIVE-3631_Infested.wav,01-09-2022_19h15_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
17,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_20h30_HIVE-3693_Active.wav,01-09-2022_20h30_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
18,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_20h45_HIVE-3690_Active.wav,01-09-2022_20h45_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
19,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_21h30_HIVE-6_Infested.wav,01-09-2022_21h30_HIVE-6_Infested.wav,FRDR,Infested,HIVE-6,Infested_HIVE-6
20,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_21h45_HIVE-3631_Infested.wav,01-09-2022_21h45_HIVE-3631_Infested.wav,FRDR,Infested,HIVE-3631,Infested_HIVE-3631
21,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_21h45_HIVE-3690_Active.wav,01-09-2022_21h45_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
22,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_21h45_HIVE-3691_Active.wav,01-09-2022_21h45_HIVE-3691_Active.wav,FRDR,Active,HIVE-3691,Active
23,dataset/urban-frdr/audio_2022_all_chunk\01-09-2022_22h00_HIVE-3628_Active.wav,01-09-2022_22h00_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
24,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_01h15_HIVE-3631_Active.wav,02-06-2022_01h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
25,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_01h30_HIVE-6_Queenless.wav,02-06-2022_01h30_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
26,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_01h45_HIVE-3631_Active.wav,02-06-2022_01h45_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
27,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_02h00_HIVE-6_Queenless.wav,02-06-2022_02h00_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
28,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_02h15_HIVE-3631_Active.wav,02-06-2022_02h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
29,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_04h30_HIVE-6_Queenless.wav,02-06-2022_04h30_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
30,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_04h45_HIVE-3631_Active.wav,02-06-2022_04h45_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
31,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_06h30_HIVE-6_Queenless.wav,02-06-2022_06h30_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
32,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_06h45_HIVE-3631_Active.wav,02-06-2022_06h45_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
33,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_07h00_HIVE-6_Queenless.wav,02-06-2022_07h00_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
34,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_07h15_HIVE-3631_Active.wav,02-06-2022_07h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
35,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_10h00_HIVE-3693_Queenless.wav,02-06-2022_10h00_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
36,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_10h00_HIVE-6_Queenless.wav,02-06-2022_10h00_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
37,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_10h15_HIVE-3631_Active.wav,02-06-2022_10h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
38,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_10h15_HIVE-3690_Queenless.wav,02-06-2022_10h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
39,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h00_HIVE-3628_Active.wav,02-06-2022_12h00_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
40,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h00_HIVE-6_Queenless.wav,02-06-2022_12h00_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
41,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h15_HIVE-3631_Active.wav,02-06-2022_12h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
42,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h15_HIVE-3690_Queenless.wav,02-06-2022_12h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
43,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h30_HIVE-6_Queenless.wav,02-06-2022_12h30_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
44,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h45_HIVE-3631_Active.wav,02-06-2022_12h45_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
45,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_12h45_HIVE-3690_Queenless.wav,02-06-2022_12h45_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
46,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_13h00_HIVE-6_Queenless.wav,02-06-2022_13h00_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
47,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_13h15_HIVE-3631_Active.wav,02-06-2022_13h15_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
48,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_13h15_HIVE-3690_Queenless.wav,02-06-2022_13h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
49,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_14h30_HIVE-3628_Active.wav,02-06-2022_14h30_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
50,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_14h30_HIVE-3693_Queenless.wav,02-06-2022_14h30_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
51,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_15h00_HIVE-3628_Active.wav,02-06-2022_15h00_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
52,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_15h00_HIVE-6_Queenless.wav,02-06-2022_15h00_HIVE-6_Queenless.wav,FRDR,Queenless,HIVE-6,Queenless_HIVE-6
53,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_15h45_HIVE-3690_Queenless.wav,02-06-2022_15h45_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
54,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_16h15_HIVE-3690_Queenless.wav,02-06-2022_16h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
55,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_16h15_HIVE-3692_Active.wav,02-06-2022_16h15_HIVE-3692_Active.wav,FRDR,Active,HIVE-3692,Active
56,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_16h30_HIVE-3627_Active.wav,02-06-2022_16h30_HIVE-3627_Active.wav,FRDR,Active,HIVE-3627,Active
57,dataset/urban-frdr/audio_2022_all_chunk\02-06-2022_16h30_HIVE-3693_Queenless.wav,02-06-2022_16h30_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
58,dataset/urban-frdr/audio_2022_all_chunk\04-07-2022_17h00_HIVE-3690_Active.wav,04-07-2022_17h00_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
59,dataset/urban-frdr/audio_2022_all_chunk\04-07-2022_18h15_HIVE-3693_Active.wav,04-07-2022_18h15_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
60,dataset/urban-frdr/audio_2022_all_chunk\04-07-2022_18h30_HIVE-3690_Active.wav,04-07-2022_18h30_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
61,dataset/urban-frdr/audio_2022_all_chunk\04-07-2022_18h45_HIVE-3640_Active.wav,04-07-2022_18h45_HIVE-3640_Active.wav,FRDR,Active,HIVE-3640,Active_HIVE-3640
62,dataset/urban-frdr/audio_2022_all_chunk\04-07-2022_21h15_HIVE-3640_Active.wav,04-07-2022_21h15_HIVE-3640_Active.wav,FRDR,Active,HIVE-3640,Active_HIVE-3640
63,dataset/urban-frdr/audio_2022_all_chunk\04-08-2022_06h45_HIVE-3691_Active.wav,04-08-2022_06h45_HIVE-3691_Active.wav,FRDR,Active,HIVE-3691,Active
64,dataset/urban-frdr/audio_2022_all_chunk\04-08-2022_09h00_HIVE-3628_Active.wav,04-08-2022_09h00_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
65,dataset/urban-frdr/audio_2022_all_chunk\04-08-2022_12h15_HIVE-3690_Active.wav,04-08-2022_12h15_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
66,dataset/urban-frdr/audio_2022_all_chunk\04-08-2022_12h30_HIVE-3628_Active.wav,04-08-2022_12h30_HIVE-3628_Active.wav,FRDR,Active,HIVE-3628,Active
67,dataset/urban-frdr/audio_2022_all_chunk\04-08-2022_14h30_HIVE-3692_Active.wav,04-08-2022_14h30_HIVE-3692_Active.wav,FRDR,Active,HIVE-3692,Active
68,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_00h00_HIVE-3693_Queenless.wav,07-06-2022_00h00_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
69,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_00h30_HIVE-3693_Queenless.wav,07-06-2022_00h30_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
70,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_02h00_HIVE-3693_Queenless.wav,07-06-2022_02h00_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
71,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_02h15_HIVE-3690_Queenless.wav,07-06-2022_02h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
72,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_04h00_HIVE-3693_Queenless.wav,07-06-2022_04h00_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
73,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_05h30_HIVE-3693_Queenless.wav,07-06-2022_05h30_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
74,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_10h30_HIVE-3693_Queenless.wav,07-06-2022_10h30_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
75,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_12h15_HIVE-3690_Queenless.wav,07-06-2022_12h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
76,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_14h15_HIVE-3690_Queenless.wav,07-06-2022_14h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
77,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_14h30_HIVE-3693_Queenless.wav,07-06-2022_14h30_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
78,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_14h45_HIVE-3690_Queenless.wav,07-06-2022_14h45_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
79,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_16h45_HIVE-3690_Queenless.wav,07-06-2022_16h45_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
80,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_19h00_HIVE-3693_Queenless.wav,07-06-2022_19h00_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
81,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_19h15_HIVE-3690_Queenless.wav,07-06-2022_19h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
82,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_20h00_HIVE-3693_Queenless.wav,07-06-2022_20h00_HIVE-3693_Queenless.wav,FRDR,Queenless,HIVE-3693,Queenless_HIVE-3693
83,dataset/urban-frdr/audio_2022_all_chunk\07-06-2022_20h15_HIVE-3690_Queenless.wav,07-06-2022_20h15_HIVE-3690_Queenless.wav,FRDR,Queenless,HIVE-3690,Queenless_HIVE-3690
84,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_00h00_HIVE-3690_Active.wav,07-09-2022_00h00_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
85,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_00h15_HIVE-3693_Active.wav,07-09-2022_00h15_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
86,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_00h15_HIVE-6_Active.wav,07-09-2022_00h15_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
87,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_00h45_HIVE-6_Active.wav,07-09-2022_00h45_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
88,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_01h00_HIVE-3631_Active.wav,07-09-2022_01h00_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
89,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_01h00_HIVE-3690_Active.wav,07-09-2022_01h00_HIVE-3690_Active.wav,FRDR,Active,HIVE-3690,Active_HIVE-3690
90,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_01h15_HIVE-3693_Active.wav,07-09-2022_01h15_HIVE-3693_Active.wav,FRDR,Active,HIVE-3693,Active
91,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_09h45_HIVE-6_Active.wav,07-09-2022_09h45_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
92,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_16h30_HIVE-3631_Active.wav,07-09-2022_16h30_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
93,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_17h15_HIVE-6_Active.wav,07-09-2022_17h15_HIVE-6_Active.wav,FRDR,Active,HIVE-6,Active_HIVE-6
94,dataset/urban-frdr/audio_2022_all_chunk\07-09-2022_17h30_HIVE-3631_Active.wav,07-09-2022_17h30_HIVE-3631_Active.wav,FRDR,Active,HIVE-3631,Active_HIVE-3631
